Date,Open,High,Low,Close,Adj Close,Volume
2006-09-30,2.180280,2.425750,2.051880,2.326300,2.326300,728475292
2006-10-31,2.343920,2.513870,2.307420,2.394280,2.394280,612285182
2006-11-30,2.424490,2.608280,2.377910,2.484910,2.484910,362545966
2006-12-31,2.484910,2.523940,2.273430,2.360290,2.360290,891537439
2007-01-31,2.379170,2.776960,2.351480,2.569250,2.569250,869816693
2007-02-28,2.567990,2.793320,2.510090,2.744230,2.744230,734184451
2007-03-31,2.731640,2.972080,2.700170,2.922980,2.922980,477271734
2007-04-30,2.922980,2.995990,2.732900,2.924240,2.924240,680756009
2007-05-31,2.921720,3.194890,2.833610,3.192370,3.192370,482417636
2007-06-30,3.196150,3.610300,3.187330,3.332100,3.332100,764991082
2007-07-31,3.251530,3.512110,2.972080,3.460500,3.460500,670128297
2007-08-31,3.478120,3.875910,3.350980,3.766390,3.766390,552147700
2007-09-30,3.763870,3.996760,3.512110,3.844440,3.844440,654643158
2007-10-31,3.863320,4.015640,3.274190,3.461760,3.461760,689269902
2007-11-30,3.457980,3.504560,3.221320,3.452950,3.452950,481883503
2007-12-31,3.452950,3.590160,2.518900,2.915430,2.915430,904805017
2008-01-31,2.953190,3.533510,2.858780,3.415180,3.415180,824240060
2008-02-29,3.373640,3.507070,3.071520,3.227620,3.227620,455580697
2008-03-31,3.217550,3.839400,3.149570,3.554910,3.554910,581298925
2008-04-30,3.554910,3.897310,3.464280,3.716040,3.716040,779988919
2008-05-31,3.654360,3.763870,3.361050,3.755060,3.755060,494430166
2008-06-30,3.726110,3.741220,2.904100,3.136980,3.136980,651640570
2008-07-31,3.140760,3.440360,2.836120,3.412660,3.412660,403449002
2008-08-31,3.398820,3.442880,2.405610,2.632190,2.632190,619963624
2008-09-30,2.702690,2.703950,1.401070,1.839140,1.839140,995260096
2008-10-31,1.909630,2.140000,1.227980,1.530730,1.530730,622261433
2008-11-30,1.542060,1.617580,1.248120,1.487930,1.487930,352227835
2008-12-31,1.487930,1.771160,1.321760,1.508070,1.508070,563093177
2009-01-31,1.506810,1.747240,1.446390,1.548350,1.548350,519402844
2009-02-28,1.510590,1.845430,1.403590,1.686820,1.686820,682849115
2009-03-31,1.661640,2.075800,1.637730,2.060690,2.060690,591915327
2009-04-30,2.060690,2.489950,2.051880,2.265880,2.265880,1011673358
2009-05-31,2.307420,2.488690,2.002780,2.182800,2.182800,693855043
2009-06-30,2.196640,2.489950,1.977610,2.391760,2.391760,588058190
2009-07-31,2.404350,2.486170,2.273430,2.350220,2.350220,308669097
2009-08-31,2.359030,2.634710,2.240700,2.590650,2.590650,508117449
2009-09-30,2.598210,2.822280,2.466030,2.535270,2.535270,587401176
2009-10-31,2.515120,2.862560,2.497500,2.696390,2.696390,468137717
2009-11-30,2.736680,3.072780,2.722830,3.033760,3.033760,389073028
2009-12-31,3.047610,3.159640,2.873890,2.963260,2.963260,406183548
2010-01-31,2.951930,3.204960,2.846190,3.057680,3.057680,516820110
2010-02-28,3.090410,3.665690,3.027460,3.606520,3.606520,518086530
2010-03-31,3.632960,3.810450,3.402590,3.553650,3.553650,644788810
2010-04-30,3.542320,3.571270,2.907880,3.216290,3.216290,974533316
2010-05-31,3.187330,3.539800,2.968300,3.176010,3.176010,666323578
2010-06-30,3.119360,3.537290,3.077820,3.474350,3.474350,441847406
2010-07-31,3.499520,3.598970,3.247760,3.476860,3.476860,331947156
2010-08-31,3.486930,3.750030,3.427770,3.698420,3.698420,362159636
2010-09-30,3.703450,4.079840,3.703450,4.019420,4.019420,406233834
2010-10-31,4.038300,4.224600,3.977870,4.035780,4.035780,348613961
2010-11-30,4.043330,4.735680,4.032000,4.637500,4.637500,297886051
2010-12-31,4.684070,4.743240,4.423500,4.599730,4.599730,347409724
2011-01-31,4.618610,4.784780,4.272440,4.607280,4.607280,415042514
2011-02-28,4.643790,4.754570,4.204460,4.721840,4.721840,358727909
