Date,Open,High,Low,Close,Adj Close,Volume
2006-10-01,10.728572,11.800000,10.371428,81.080002,11.582857,3596989200
2006-11-01,11.585714,13.308572,11.112857,91.660004,13.094286,3458721000
2006-12-01,13.114285,13.190000,10.967143,84.839996,12.120000,4222698200
2007-01-01,12.327143,13.971429,11.700000,85.729996,12.247143,6802445300
2007-02-01,12.318571,12.972857,11.837143,84.610001,12.087143,3430588700
2007-03-01,12.004286,13.832857,11.964286,92.909996,13.272857,3979661000
2007-04-01,13.448571,14.642858,12.800000,99.800003,14.257143,3364935000
2007-05-01,14.227143,17.452858,14.078571,121.189995,17.312857,4341267000
2007-06-01,17.299999,18.230000,16.485714,122.040001,17.434286,5819885400
2007-07-01,17.292856,21.274286,17.042856,131.759995,18.822857,6004643400
2007-08-01,19.091429,19.950001,15.945714,138.480011,19.782858,6090199500
2007-09-01,19.991428,22.142857,18.571428,153.470001,21.924286,5232805900
2007-10-01,22.090000,27.160000,21.847143,189.949997,27.135714,5819447900
2007-11-01,26.942858,27.525715,21.518572,182.220001,26.031429,6549947600
2007-12-01,25.980000,28.994286,25.284286,198.079987,28.297142,4313169700
2008-01-01,28.467142,28.608572,18.020000,135.360001,19.337143,8793472100
2008-02-01,19.462856,19.512857,16.491428,125.020004,17.860001,6216488600
2008-03-01,17.777143,20.820000,16.857143,143.500000,20.500000,5731818400
2008-04-01,20.900000,25.714285,20.515715,173.949997,24.850000,5696745600
2008-05-01,24.994286,27.462856,24.571428,188.750000,26.964285,4647053600
2008-06-01,26.942858,27.135714,23.450001,167.440002,23.920000,4868948700
2008-07-01,23.461428,25.844286,20.932858,158.950012,22.707144,4937440200
2008-08-01,22.842857,25.778572,21.844286,169.529999,24.218571,3271438800
2008-09-01,24.628571,24.785715,14.370000,113.659996,16.237143,6016890600
2008-10-01,15.988571,16.628571,12.142858,107.589996,15.370000,10356677800
2008-11-01,15.132857,15.970000,11.305715,92.669998,13.238571,5904865400
2008-12-01,13.042857,14.800000,12.078571,85.349998,12.192857,5053461700
