Date,Open,High,Low,Close,Adj Close,Volume
2006-09-30,2.245000,2.377500,2.190000,2.375000,2.375000,3046784370
2006-10-31,2.377500,2.445000,2.290000,2.290000,2.290000,2966662340
2006-11-30,2.302500,2.340000,2.235000,2.290000,2.290000,1972506764
2006-12-31,2.290000,2.397500,2.240000,2.262500,2.262500,2866146938
2007-01-31,2.275000,2.440000,2.257500,2.287500,2.287500,3096690632
2007-02-28,2.282500,2.292500,2.075000,2.135000,2.135000,4131331977
2007-03-31,2.300000,2.475000,2.200000,2.215000,2.215000,8226935372
2007-04-30,2.215000,2.245000,2.070000,2.155000,2.155000,3993916770
2007-05-31,2.157500,2.170000,2.000000,2.030000,2.030000,3499135499
2007-06-30,2.032500,2.117500,1.925000,1.972000,1.972000,2612629543
2007-07-31,1.938000,2.085000,1.870000,2.082500,2.082500,2478108308
2007-08-31,2.075000,2.185000,2.032500,2.132500,2.132500,2657447235
2007-09-30,2.132500,2.210000,2.057500,2.167500,2.167500,3477208667
2007-10-31,2.165000,2.220000,2.095000,2.172500,2.172500,3128233767
2007-11-30,2.167500,2.257500,2.102500,2.125000,2.125000,2328645322
2007-12-31,2.125000,2.175000,1.922500,2.035000,2.035000,3801246819
2008-01-31,2.042500,2.045000,1.661000,1.661000,1.661000,3141454568
2008-02-29,1.649000,1.653000,1.148000,1.325000,1.325000,5079794892
2008-03-31,1.320000,1.527000,1.291000,1.352000,1.352000,5445846640
2008-04-30,1.352000,1.450000,1.287000,1.415000,1.415000,2349493444
2008-05-31,1.410000,1.469000,1.232000,1.280000,1.280000,2040118767
2008-06-30,1.284000,1.359000,1.122000,1.163000,1.163000,2543871228
2008-07-31,1.163000,1.183000,1.050000,1.108000,1.108000,1848859512
2008-08-31,1.100000,1.150000,1.030000,1.052000,1.052000,3126708241
2008-09-30,1.054000,1.083000,0.715000,0.895000,0.895000,2997282845
2008-10-31,0.918500,1.099000,0.867000,1.068000,1.068000,1784924254
2008-11-30,1.054000,1.183000,0.963500,1.150000,1.150000,1364370507
2008-12-31,1.150000,1.200000,0.951500,0.963500,0.963500,1570846662
2009-01-31,0.963000,1.109000,0.886500,0.966500,0.966500,1651070029
2009-02-28,0.952500,0.984000,0.760000,0.971000,0.971000,2082793177
2009-03-31,1.000000,1.074000,0.886500,0.963000,0.963000,4075778099
2009-04-30,0.963000,1.038000,0.931000,0.994500,0.994500,1765398779
2009-05-31,1.001000,1.023000,0.909000,0.985000,0.985000,1504036292
2009-06-30,0.987500,1.107000,0.925000,1.098000,1.098000,1412173575
2009-07-31,1.095000,1.141000,1.022000,1.127000,1.127000,1291591100
2009-08-31,1.131000,1.263000,1.102000,1.199000,1.199000,1598760245
2009-09-30,1.192000,1.228000,1.083000,1.083000,1.083000,1663978248
2009-10-31,1.089000,1.188000,1.020000,1.066000,1.066000,1106004634
2009-11-30,1.071000,1.106000,1.041000,1.088000,1.088000,1135268459
2009-12-31,1.088000,1.118000,1.005000,1.085000,1.085000,2268403368
2010-01-31,1.086000,1.170000,1.025000,1.046000,1.046000,2664179112
2010-02-28,1.057000,1.098000,1.043000,1.066000,1.066000,1373036505
2010-03-31,1.068000,1.145000,1.023000,1.053000,1.053000,1923358263
2010-04-30,1.050000,1.076000,0.886000,0.951500,0.951500,4253678805
2010-05-31,0.949500,0.985000,0.876500,0.910000,0.910000,2016240347
2010-06-30,0.900500,1.019000,0.885000,0.977500,0.977500,1582470370
2010-07-31,0.981000,1.077000,0.973500,1.067000,1.067000,1723537393
2010-08-31,1.073000,1.100000,1.006000,1.025000,1.025000,1779663855
2010-09-30,1.023000,1.114000,0.998500,1.102000,1.102000,1482074959
2010-10-31,1.104000,1.123000,0.943500,0.949000,0.949000,1558601278
2010-11-30,0.950000,1.001000,0.947000,0.967000,0.967000,1069193939
2010-12-31,0.979000,1.080000,0.979000,1.038000,1.038000,1539729040
2011-01-31,1.032000,1.139000,1.032000,1.132000,1.132000,1390246588
2011-02-28,1.130000,1.158000,1.046000,1.085000,1.085000,2088888718
2011-03-31,1.089000,1.097000,0.968000,1.017000,1.017000,2739857552
2011-04-30,1.019000,1.030000,0.956000,0.985500,0.985500,1389841976
2011-05-31,0.986500,0.992500,0.885500,0.959500,0.959500,1244805304
2011-06-30,0.961500,0.962500,0.795000,0.877500,0.877500,1720738068
2011-07-31,0.890000,0.895000,0.767500,0.844500,0.844500,2171741022
2011-08-31,0.843500,0.861500,0.701500,0.819500,0.819500,1797542337
2011-09-30,0.804000,0.957500,0.794000,0.899500,0.899500,1446761921
2011-10-31,0.886500,0.909500,0.752000,0.842500,0.842500,1570951781
2011-11-30,0.838500,0.882500,0.788500,0.831000,0.831000,982709027
2011-12-31,0.829000,0.884000,0.764500,0.777500,0.777500,1391579023
2012-01-31,0.784500,0.898500,0.766000,0.865000,0.865000,1472034785
2012-02-29,0.862500,0.931500,0.841000,0.891500,0.891500,1343519890
2012-03-31,0.891500,0.901000,0.793500,0.858500,0.858500,1265076069
2012-04-30,0.858500,0.886000,0.658000,0.667500,0.667500,2680859202
2012-05-31,0.670000,0.781500,0.651500,0.780500,0.780500,1980019505
2012-06-30,0.782000,0.785000,0.603000,0.665000,0.665000,1269721395
2012-07-31,0.662500,0.761500,0.628500,0.740000,0.740000,1438693571
2012-08-31,0.739000,0.857000,0.737000,0.780000,0.780000,1112411426
2012-09-30,0.778500,0.813000,0.688000,0.710500,0.710500,1145760938
2012-10-31,0.707500,0.745000,0.661500,0.700500,0.700500,1255422655
2012-11-30,0.701000,0.724000,0.674000,0.683000,0.683000,822073211
2012-12-31,0.683000,0.780500,0.683000,0.732000,0.732000,1876158788
2013-01-31,0.730500,0.736000,0.543000,0.565500,0.565500,1933227192
2013-02-28,0.560500,0.630500,0.536000,0.551000,0.551000,1628169309
2013-03-31,0.551000,0.654500,0.532000,0.642500,0.642500,2283220347
2013-04-30,0.642500,0.679500,0.597000,0.599000,0.599000,1746665765
2013-05-31,0.599500,0.603500,0.505000,0.534000,0.534000,1546688569
2013-06-30,0.539500,0.547500,0.473000,0.508500,0.508500,1995885441
2013-07-31,0.510000,0.531000,0.465500,0.529500,0.529500,1727746222
2013-08-31,0.540000,0.630000,0.535000,0.610000,0.610000,4519895282
2013-09-30,0.641500,0.764000,0.603000,0.717500,0.717500,4351717865
2013-10-31,0.713000,0.752000,0.661000,0.718000,0.718000,2948162192
2013-11-30,0.714500,0.726000,0.651500,0.721000,0.721000,1573941017
2013-12-31,0.721000,0.886500,0.705000,0.825000,0.825000,3361898385
2014-01-31,0.829000,0.883500,0.783000,0.823500,0.823500,1834434191
2014-02-28,0.809000,0.869000,0.790500,0.856000,0.856000,2010751976
2014-03-31,0.853000,0.926500,0.838000,0.923500,0.923500,1861668529
2014-04-30,0.923500,0.956000,0.813000,0.911000,0.911000,2227362140
2014-05-31,0.914000,1.012000,0.908500,0.925000,0.925000,1824750967
2014-06-30,0.924000,0.935000,0.844000,0.865000,0.865000,2072000189
2014-07-31,0.862500,0.897000,0.790000,0.875500,0.875500,1909403990
2014-08-31,0.876000,0.960000,0.853500,0.907500,0.907500,2153672363
2014-09-30,0.904000,0.916000,0.736500,0.902500,0.902500,2738902081
2014-10-31,0.908500,0.925000,0.845500,0.906000,0.906000,2231788410
2014-11-30,0.914000,0.977000,0.852000,0.882000,0.882000,1934822118
2014-12-31,0.882000,1.049000,0.845000,1.033000,1.033000,2466410567
2015-01-31,1.037000,1.077000,0.936000,1.066000,1.066000,2087017359
2015-02-28,1.098000,1.145000,1.037000,1.092000,1.092000,2636190792
2015-03-31,1.087000,1.144000,1.045000,1.059000,1.059000,1870914707
2015-04-30,1.059000,1.143000,1.013000,1.116000,1.116000,2057773570
2015-05-31,1.132000,1.205000,1.081000,1.138000,1.138000,2977359501
2015-06-30,1.148000,1.280000,1.088000,1.205000,1.205000,2592927904
2015-07-31,1.211000,1.276000,1.041000,1.083000,1.083000,2307171998
2015-08-31,1.068000,1.152000,1.047000,1.102000,1.102000,2858157088
2015-09-30,1.116000,1.316000,1.011000,1.269000,1.269000,3085257234
2015-10-31,1.270000,1.308000,1.140000,1.224000,1.224000,2811334558
2015-11-30,1.234000,1.234000,1.088000,1.175000,1.175000,2216303866
2015-12-31,1.175000,1.175000,0.970000,1.022000,1.022000,2029158843
2016-01-31,1.009000,1.010000,0.796500,0.899000,0.899000,2988772470
2016-02-29,0.888000,1.058000,0.885000,0.954000,0.954000,2210514056
2016-03-31,0.935000,0.941000,0.827000,0.850000,0.850000,2121473509
2016-04-30,0.858000,0.891500,0.798500,0.851000,0.851000,2145209201
2016-05-31,0.855000,0.873500,0.666500,0.735000,0.735000,2796559462
2016-06-30,0.739500,0.771000,0.626500,0.763500,0.763500,2548087267
2016-07-31,0.770000,0.831000,0.712500,0.813500,0.813500,1456110477
2016-08-31,0.813500,0.828000,0.720000,0.739000,0.739000,1697783944
